zd,zz
消化道大出血：,精神软:1 贫血:1 舌质淡:1 不适:1 脉弱:1 出血:1 乏力:1 纳差:1 早搏:1 浮肿:1 晕厥:1 肺呼吸音粗:1 消瘦:1 
腹白线疝,肿块:2 腹部包块:2 男性:1 疼痛:1 淋巴结肿大:1 女性:1 破溃:1 
肺结核,男性:25 精神软:21 咳嗽:18 老年:18 感染:17 肺结核:15 咳痰:12 肺呼吸音粗:12 女性:8 发热:8 高血压病:7 胸痛:6 胸腔积液:6 肿瘤:5 左肺上叶:5 糖尿病:5 咯血:4 胸膜增厚:4 空洞形成:4 胸闷:4 乏力:3 痰中带血:3 畏寒发热:3 桶状胸:2 恶心:2 加重:2 纳差:2 皮疹:2 慢支:2 胆囊炎:2 瘙痒:2 胃炎:2 淋巴结肿大:2 肺气肿征象:2 头痛:2 乙肝:2 支气管扩张:2 自行停药:2 停药:2 湿罗音:2 冠心病:2 轻压痛:2 脱屑:1 受凉:1 左肺下叶小结节:1 咽部:1 右下肺结节:1 副脾:1 心律不齐:1 肝功能异常:1 多发钙化灶:1 两侧胸膜:1 肠结核:1 干咳:1 吸烟:1 浮肿:1 主动脉瓣轻度反流:1 低热:1 剑突下压痛:1 蜘蛛痣:1 肝硬化:1 上腹压痛:1 呕吐:1 左室增大:1 背痛:1 肿胀:1 肺部阴影:1 阵发性干咳:1 头晕:1 胸水:1 下腹部压痛:1 手术治疗:1 病灶模糊:1 寒战:1 右肺中叶纤维灶:1 椎体:1 畏寒:1 青年:1 肺气肿:1 小三阳:1 肺炎:1 强回声:1 脓性分泌物:1 乳腺癌:1 肿块:1 抓痕:1 胸闷胸痛:1 胸闷不适:1 肺大泡:1 尿黄:1 右肾小结石:1 前列腺增大:1 重度混合性通气功能障碍:1 左心室高电压:1 肌张力增高:1 肝区叩击痛:1 全腹及反跳痛:1 双肾多发小结晶:1 房颤:1 右肺呼吸音低:1 疱疹:1 不适:1 脑梗塞:1 右肺上叶近肺门旁稍高密度结节影:1 皮肤巩膜黄染:1 痰血:1 肾区叩痛:1 增生:1 肝内小钙化灶:1 胆囊切除术:1 气胸:1 ST-T改变:1 高血压:1 风湿性关节炎:1 阻塞性炎症:1 脾肿大:1 慢性支气管炎病史:1 隐血:1 
半月板损伤,疼痛:62 膝关节:55 肿胀:54 活动受限:50 局部压痛:43 加重:33 囊肿:18 退变:16 肿块:11 女性:11 关节囊积液:10 男性:8 左膝半月板损伤:6 压痛明显:5 外伤:5 老年:4 轻压痛:4 腰椎:2 摔伤:2 膝活动受限:2 摔倒:1 右膝髌上囊异常信号:1 对掌功能欠佳:1 腰椎间盘突出:1 跛行:1 右膝内侧半月板后角损伤:1 累:1 乏力:1 无力:1 活动度欠佳:1 增生:1 车祸:1 双膝肿痛:1 麻木:1 破裂:1 骨折:1 不适:1 受伤:1 椎体:1 发热:1 
吸入性肺炎,男性:1 精神软:1 肺炎:1 咳痰:1 意识不清:1 咳嗽:1 不适:1 两肺多发渗出:1 女性:1 头晕:1 荨麻疹病史:1 老年:1 浮肿:1 昏迷:1 饮酒史:1 溺水后感:1 胸闷气促:1 胸闷:1 头痛:1 
急性冠脉综合征,浮肿:15 胸闷:12 高血压:12 男性:10 胸痛:9 头晕:7 糖尿病:6 出汗:6 精神软:5 肺呼吸音粗:5 咳嗽:5 咳痰:4 女性:4 ST-T改变:4 高血压病:4 恶心:3 呕吐:3 老年:3 房颤:2 心肌梗死:2 晕厥:2 胸闷气促:2 T波改变:2 肺大泡:2 心影增大:2 湿罗音:2 心音低:2 ST段抬高:2 病理性杂音:2 左室舒张功能欠佳:1 心跳骤停:1 意识丧失:1 无意识:1 轻压痛:1 两肺渗出:1 黑便:1 双下肢轻度水肿:1 肺气肿:1 贫血:1 黑朦:1 加重:1 动脉粥样硬化:1 胆总管结石:1 呼吸困难:1 肾功能不全:1 咽痛:1 痛风:1 肢体抽搐:1 心悸:1 乏力:1 胸闷不适:1 乙肝:1 心律不齐:1 早搏:1 肺部感染:1 心界左下扩大:1 感染:1 胃窦溃疡:1 腹泻:1 心脏病:1 胸腔积液:1 咯血:1 发热:1 红肿:1 胸闷心悸:1 两侧胸腔少量积液:1 不适:1 左心室增大:1 腹胀:1 肝囊肿:1 肾囊肿:1 两肺纹理增多:1 脑梗塞:1 脑梗塞后遗症:1 痛风性肾病:1 室速:1 吸烟:1 主动脉壁及冠脉钙化:1 左室高电压:1 气促:1 
冠状动脉粥样硬化性心脏病,浮肿:291 高血压:186 胸闷:168 男性:167 肺呼吸音粗:127 女性:118 老年:101 糖尿病:99 胸痛:93 加重:93 冠心病:84 湿罗音:79 高血压病:71 房颤:59 咳嗽:56 胸闷心悸:54 颈静脉充盈:54 双肺呼吸音低:52 胸闷气促:52 头晕:50 心悸:47 精神软:39 咳痰:38 病理性杂音:37 动脉粥样硬化:34 心脏病:34 早搏:32 气促:32 心音强弱不等:29 出汗:27 ST-T改变:27 增生:26 胸闷胸痛:23 不适:23 乏力:23 心律绝对不齐:23 感染:22 心影增大:21 心界左下扩大:21 T波改变:20 胸腔积液:20 胃炎:18 心律失常:18 畏寒:18 咯血:17 痛风:16 慢支:14 呕吐:14 心动过缓:13 脂肪肝:12 食管炎:12 恶心:12 主动脉瓣钙化:12 疼痛:12 心浊音界左大:12 吸烟:12 心脏扩大:12 晕厥:12 完全性右束支传导阻滞:11 胆囊炎:11 脑梗塞:11 肾囊肿:11 畏寒发热:11 呼吸困难:10 左房增大:10 胸闷不适:10 心肌梗死:10 肺气肿:10 胸闷气急:10 室早:10 慢性阻塞性肺病:10 静脉曲张:10 窦缓:10 腹胀:10 心律不齐:9 左室高电压:9 肾功能不全:9 桶状胸:9 左室舒张功能减退:9 回旋支PCI术:9 双下肢水肿:9 胸膜增厚:9 斑块形成:9 肺气肿征象:9 头痛:9 主动脉硬化:8 双下肢轻度水肿:8 左室舒张功能欠佳:8 贫血:8 心慌:8 心功能不全:8 慢性支气管炎:8 房室传导阻滞:8 心包积液:7 心衰:7 发热:7 粥样斑块形成:7 口唇紫绀:7 房早:7 左肺上叶:7 胆囊结石:6 甲状腺结节:6 支气管病变:6 心界左侧扩大:6 肥大:6 起搏器植入术:6 心功能III级:6 颈动脉硬化:6 轻压痛:6 淋巴结肿大:6 麻木:5 左室增大:5 哮鸣音:5 律欠齐:5 腹痛:5 心绞痛:5 右冠中度狭窄:5 双侧颈总动脉内中膜不均匀增厚:5 冠脉支架植入术:5 视物旋转:5 异常Q波:5 腹膨隆:5 全心扩大:5 两肺呼吸音低:5 阵发性房颤:5 心动过速:5 管腔轻度狭窄:5 端坐呼吸:5 完全性左束支传导阻滞:5 无意识:4 急性心肌梗死:4 三尖瓣轻度反流:4 三尖瓣中度返流:4 动脉粥样斑块:4 起搏器:4 右肺上叶小结节:4 心力衰竭:4 囊肿:4 退变:4 颈动脉斑块:4 剑突下压痛:4 轻度ST段改变:4 意识丧失:4 心包腔少量积液:4 活动障碍:4 肝囊肿:4 反酸:4 前降支重度狭窄:4 颈动脉粥样硬化:3 两侧胸膜:3 ST段压低:3 血压高:3 两肺纹理增多:3 消瘦:3 哮喘:3 主动脉管壁钙化:3 肺大泡:3 支气管扩张:3 肺部感染:3 左侧肢体:3 进食:3 短阵房速:3 回声结节:3 腹水:3 三联律:3 腰椎退行性变:3 嗳气:3 黑朦:3 频发房性早搏:3 慢性阻塞性肺疾病:3 两肺渗出:3 黑便:3 双肺语颤减弱:3 肺动脉高压:3 心功能IV级:3 肾结石:3 头昏:3 纳差:3 胃窦粘膜慢性中度浅表性炎:3 脑改变:3 室上速:3 视网膜病变:3 压痛明显:3 起搏器植入术后:3 频发房早:3 胆囊切除术:3 红肿:3 肿瘤:3 腔梗灶:3 骨质疏松:3 轻度脱髓鞘改变:3 双肺呼吸音稍粗:3 膝关节:3 重度混合性通气功能障碍:3 少量渗出:3 心音低:3 尿痛:2 前列腺钙化灶:2 主动脉壁钙化:2 腔隙性脑梗塞:2 颈椎病:2 尿频:2 双下肢乏力:2 关节畸形:2 血栓:2 抽搐:2 两肺结节:2 ST段抬高:2 胆结石:2 肝区回声增粗:2 呕血:2 陈旧性手术疤痕:2 心房纤颤:2 血压偏高:2 远段重度狭窄:2 心功能Ⅲ级:2 前列腺病史:2 关节痛:2 少尿:2 两侧胸腔少量积液:2 肝右叶钙化灶:2 气急:2 前列腺钙化:2 无力:2 心脏明显增大:2 三支血管轻中度狭窄:2 肝区叩击痛:2 乙肝:2 腰椎:2 白色粘痰:2 三支血管重度狭窄:2 酸痛:2 房速:2 口齿欠清:2 心功能Ⅱ级:2 盆腔少量积液:2 呼吸急促:2 高血压性心脏病:2 脑梗死:2 视力下降:2 胸水:2 饮酒史:2 停药:2 右肺上叶钙化灶:2 寒战:2 饮酒:2 结肠癌:2 血尿:2 吞咽困难:2 胸痛不适:2 白内障:2 症状加重:2 心悸不适:2 肾功能正常:2 糖尿病周围神经病变:2 行走不稳:2 心肌病:2 气喘:2 肝内脂肪增多:2 背痛:2 椎间盘突出:2 肝右叶囊肿:2 肿块:2 叩心界稍左大:2 血糖偏高:2 左心室高电压:2 疱疹:2 肺结核:2 视物模糊:2 心功能3级:2 阿尔茨海默病:2 脑梗塞病史:1 胸骨后疼痛:1 心脏杂音:1 右肺呼吸音低:1 胃溃疡:1 主动脉弓钙化:1 腰部疼痛:1 心包少量积液:1 便秘:1 胃炎病史:1 胃部不适:1 两肺纹理增粗:1 全身乏力:1 慢性肾脏病:1 轻度异常:1 听力减退:1 突发恶心:1 胃窦粘膜慢性中度萎缩性炎伴中度肠化:1 淋巴瘤:1 脾大:1 肺炎:1 息肉:1 右肺上叶结节:1 脾周少量积液:1 全腹及反跳痛:1 右冠轻度狭窄:1 腺肌症:1 胸骨后不适:1 前列腺症:1 完全性右束支+左前分支传导阻滞:1 紧张:1 青霉素过敏史:1 干咳:1 心功能III-IV级:1 车祸:1 下肢水肿:1 面色少华:1 头晕乏力:1 血压升高:1 皮炎:1 反应迟钝:1 左肺下叶小结节:1 肝炎:1 呼吸促:1 血压下降:1 肝功能异常:1 左肺下叶结节:1 肝颈静脉回流征阳性:1 抑郁症:1 高脂血症:1 手术史:1 胃癌手术:1 隐痛:1 两肺语颤减弱:1 左肺下叶渗出:1 左心室增大:1 原发性醛固酮增多症:1 缺血性心肌病:1 炎性结节:1 慢阻肺:1 自行恢复意识:1 心脏病病史:1 甲减:1 强直性脊柱炎:1 主动脉及冠状动脉钙化:1 陈旧性心肌梗塞:1 慢性病容:1 痰中带血:1 两肺散在渗出:1 思睡:1 低钾血症:1 血小板减少:1 肝左叶小囊肿:1 情感障碍:1 颈静脉略充盈:1 左侧基底节区:1 腰椎间盘突出:1 焦虑:1 左冠前降支起始部壁钙化斑:1 椎管狭窄:1 阑尾切除术:1 室速:1 累:1 全身大汗:1 高血压史:1 腹泻:1 全身皮肤色素斑块状缺失:1 情绪激动:1 摔倒:1 肺水肿:1 心脏支架植入术:1 囊性暗区:1 血糖升高:1 结肠息肉:1 糖耐量异常:1 高尿酸血症:1 泌尿系结石:1 糖尿病肾病:1 双侧颈动脉内中膜不均增厚:1 前降支中度病变:1 三支血管病变:1 焦虑障碍:1 尿葡萄糖+:1 甲状腺功能减退病史:1 甲状腺左侧叶结节:1 排尿困难:1 痴呆:1 DSA下冠脉造影术:1 心律失常-快慢综合征:1 保守治疗:1 低蛋白血症:1 上腹压痛:1 血糖控制欠佳:1 主动脉瓣轻度反流:1 气促明显:1 左肺上叶下舌段少量纤维灶:1 行胆囊切除术:1 椎体:1 心功能II级:1 周围神经病:1 甲状腺功能减退:1 口吐白沫:1 口角歪斜:1 前列腺增大:1 双目失明:1 手术瘢痕:1 脑白质脱髓鞘改变:1 肾功能异常:1 贫血病史:1 两肺下叶纤维灶:1 前降支开口中度狭窄:1 全心增大:1 痛风性肾病:1 心功能不全病史:1 自行停药:1 右冠近段20%狭窄:1 阵发性咳嗽:1 升主动脉瘤样扩张:1 两肺散在纤维增殖灶:1 中毒:1 支气管疾患:1 风湿性关节炎:1 膀胱癌:1 直肠癌根治术:1 结肠MT术后:1 脑白质区脱髓鞘改变:1 受凉:1 矽肺:1 咽部:1 抗血小板聚集:1 右侧胸部反复闷胀:1 胰管扩张:1 脂肪肝倾向:1 胃病:1 口唇发绀:1 牙龈出血:1 室间隔稍增厚:1 上腹部闷胀:1 皮温高:1 甲状腺功能亢进:1 帕金森病史:1 口齿不清:1 破溃:1 胆囊息肉:1 肋间隙增宽:1 甲状腺机能减退:1 右肾轻度积水:1 口唇轻度紫绀:1 慢支伴感染:1 帕金森:1 尘肺:1 血压偏低:1 两肺散在纤维灶:1 慢室率:1 血糖高:1 左主干-前降支IVUS及PCI术:1 皮疹:1 心功能Ⅰ级:1 脑出血病史:1 头晕不适:1 肌张力增高:1 呼吸衰竭:1 骨折:1 右房增大:1 失眠:1 钢板植入:1 心功能Ⅳ级:1 瘀斑:1 胀痛:1 颈椎退变:1 抑郁:1 血钾低:1 急性起病:1 呛咳:1 刺痛:1 
AECOPD,桶状胸:11 咳嗽:8 肺呼吸音粗:6 颈静脉充盈:6 湿罗音:6 病理性杂音:6 男性:5 精神软:5 双肺呼吸音低:5 气促:5 感染:4 气急:3 高血压病:3 双下肢轻度水肿:2 肺气肿:2 胸闷:2 口唇紫绀:2 加重:2 静脉曲张:2 肺大泡:2 女性:2 呼吸急促:2 胃溃疡病史:2 支气管疾患:2 消瘦:2 食管炎:2 脑改变:1 慢支:1 房早:1 心包少量积液:1 双侧胸膜改变:1 咳痰:1 乏力:1 老年:1 白粘痰:1 纳差:1 支气管扩张:1 咳喘:1 增生:1 痰多:1 两侧胸膜:1 两肺多发小结节:1 谵妄:1 发热:1 房速:1 气喘:1 胸腔积液:1 支气管病变:1 症状加重:1 慢性阻塞性肺疾病:1 两上肺陈旧灶:1 早搏:1 浮肿:1 咳、痰:1 
腘窝囊肿（左,肿块:1 囊肿:1 膝关节:1 
尿路感染,病理性杂音:7 发热:7 女性:5 尿痛:4 红肿:4 隐血:3 肾结石:2 肺呼吸音粗:2 咽部:2 咳痰:2 畏寒发热:2 苔薄黄:2 腹痛:2 肾区叩痛:2 尿频:2 左肾轻度积水:2 畏寒:2 精神软:1 胃炎:1 肾积水:1 腰痛:1 双肺呼吸音稍粗:1 双下肢水肿:1 流脓:1 尿频尿急尿痛:1 尿频尿痛:1 多发结石:1 脉细:1 咳嗽:1 糖尿病:1 输尿管结石:1 左输尿管上段结石:1 腰酸:1 酸痛:1 恶寒:1 乏力:1 苔白腻:1 双肾轻度积水:1 男性:1 右肾小结石:1 舌质淡:1 ST-T改变:1 感染:1 全腹及反跳痛:1 咽稍红:1 化脓:1 受凉:1 无力:1 尿量减少:1 囊肿:1 二便失禁:1 阑尾炎:1 两肺纹理增多:1 胃角溃疡:1 吸烟:1 浮肿:1 脉弦:1 
2型糖尿病,浮肿:83 病理性杂音:71 男性:65 血糖升高:59 口干:58 多饮:56 女性:53 高血压:50 糖尿病:40 多尿:35 血糖高:32 肺呼吸音粗:30 老年:24 消瘦:19 精神软:19 乏力:18 高血压病:18 湿罗音:14 头晕:13 双肺呼吸音低:12 视物模糊:12 加重:9 麻木:9 增生:8 脂肪肝:7 不适:7 冠心病:7 心功能II级:6 尿糖:6 隐血:6 高血压性心脏病:5 肥胖:5 头昏乏力:5 腹痛:5 心脏扩大:5 胸闷:5 视网膜病变:5 动脉粥样硬化:5 早搏:5 心脏病:5 颈动脉粥样硬化:4 体重下降:4 肝炎:4 纳差:4 体重减轻:4 肿胀:4 胆囊炎:4 破溃:4 全腹及反跳痛:4 脑改变:3 恶心:3 高脂血症:3 糖尿病周围神经病变:3 头昏:3 肿瘤:3 胃炎:3 晕厥:3 出血:3 感染:3 痛风:3 慢性阻塞性肺疾病:3 脑梗塞:3 低钾血症:3 双下肢水肿:3 甲亢:3 心慌:3 高尿酸血症:2 胃窦粘膜慢性中度浅表性炎:2 粥样斑块形成:2 心律不齐:2 酮症酸中毒:2 肾结石:2 双下肢乏力:2 咳嗽:2 肝内脂肪增多:2 多发结石:2 肝癌:2 面色红:2 肝囊肿:2 周围神经病变:2 皮疹:2 心功能不全:2 乙肝:2 房颤:2 反酸:2 囊肿:2 自行停药:2 血小板减少:2 触痛:2 肺结核:2 腹泻:2 心律失常:2 红肿:2 发热:2 头晕乏力:2 颈动脉硬化:2 腹胀:2 脾肿大:2 肾囊肿:2 疼痛:2 轻压痛:2 左侧肢体:1 白内障:1 反应迟钝:1 脑梗塞病史:1 黑朦:1 肾功能不全:1 精神障碍:1 咽部:1 双外耳道干燥:1 右上肺陈旧灶:1 心功能III-IV级:1 白细胞减少:1 糖尿病肾病:1 心动过缓:1 尿色偏红:1 胆囊小:1 视物旋转:1 颈动脉粥样病变:1 十二指肠球部溃疡:1 胸膜增厚:1 手术史:1 尿葡萄糖+:1 主动脉弓钙化:1 腔梗灶:1 巩膜轻度黄染:1 磨玻璃样结节:1 主动脉瓣轻度反流:1 双目失明:1 甲状腺功能亢进:1 脊椎退行性变:1 胰十二指肠切除术:1 甲状腺结节:1 排尿不畅:1 意识模糊:1 左肾重度积水:1 胸闷气促:1 急性支气管炎:1 肝硬化:1 阵发性房颤:1 咳痰:1 呕吐:1 甲状腺机能亢进:1 斑块形成:1 心影增大:1 子宫肌瘤:1 心浊音界左大:1 关节痛:1 心界左下扩大:1 腹膨隆:1 左室舒张功能减退:1 右肾轻度积水:1 血吸虫肝病:1 甲减:1 两肺纹理增粗:1 抽搐:1 腔梗:1 支气管病变:1 肿块:1 神志淡漠:1 房室传导阻滞:1 青年:1 心绞痛:1 右侧肢体乏力:1 上腹部压痛:1 感冒:1 眩晕症:1 嗳气:1 双下肢轻度水肿:1 尿频尿急尿痛:1 左输尿管中段结石:1 停经:1 甲肝病史:1 肝内脂肪偏多:1 颈静脉充盈:1 脉细:1 酸痛:1 肺炎:1 周围神经病:1 发冷:1 甲状腺功能减退:1 红肿热痛:1 慢性病容:1 胸闷不适:1 肺大泡:1 血迹:1 头痛:1 出汗:1 肝区叩击痛:1 脑白质脱髓鞘改变:1 胆汁反流:1 支气管扩张:1 眼痛:1 脾大:1 血糖控制欠佳:1 停药:1 双足肿痛:1 腰痛:1 子宫内膜癌:1 胸痛:1 腰椎间盘突出:1 小便酮体:1 高血压心脏病:1 前列腺癌术后:1 轻度脂肪肝:1 支气管疾患:1 颈椎病病史:1 中上腹压痛:1 胆囊切除术:1 静脉曲张:1 外伤史:1 血糖增高:1 肌酐升高:1 退变:1 频发房早:1 肺部感染:1 食管炎:1 呼吸衰竭:1 
药物性慢性胃炎,精神软:1 呕吐:1 肝区叩击痛:1 胃窦粘膜慢性中度浅表性炎:1 急性病程:1 肺呼吸音粗:1 女性:1 
肝功能不全,乏力:9 男性:6 女性:5 肝功能异常:5 浮肿:5 病理性杂音:4 腹胀:4 脂肪肝:3 肝炎:3 咽部:3 纳差:3 皮肤巩膜黄染:3 高血压:3 不适:3 精神软:2 紧张:2 肺呼吸音粗:2 糖尿病:2 老年:2 消瘦:2 舌质淡:2 肝区叩击痛:2 腹水:1 胃炎:1 两肺渗出:1 蜘蛛痣:1 回声改变:1 剑突下压痛:1 中毒:1 黑便:1 疼痛:1 血压升高:1 受损:1 小三阳:1 脉细:1 慢性病容:1 恶心:1 脉细弱:1 甲状腺肿大:1 畏寒发热:1 加重:1 饮酒史:1 尿黄:1 外伤史:1 腹膨隆:1 感染:1 湿罗音:1 双肺呼吸音低:1 腹泻:1 化脓:1 关节肿痛:1 急性病程:1 肾功能不全:1 下腹部压痛:1 骨折:1 甲癣:1 皮疹:1 胸腔积液:1 抑郁症:1 意识模糊:1 畏寒:1 腹痛:1 胰腺炎:1 盆腔大量积液:1 乙肝:1 脉弦:1 呕血:1 肝增大:1 
左手轧压伤,活动受限:1 骨折:1 外伤:1 舌质淡:1 渗血:1 末节屈伸障碍:1 出血:1 疼痛:1 麻木:1 脉弦:1 
心律失常,浮肿:83 心悸:66 女性:56 高血压:55 胸闷:45 糖尿病:43 男性:42 早搏:35 头晕:31 晕厥:30 肺呼吸音粗:24 畏寒:21 加重:18 心动过速:18 房颤:17 湿罗音:15 发热:15 室早:14 心慌:14 老年:13 心律失常:13 乏力:11 房室传导阻滞:11 咳嗽:9 咳痰:9 T波改变:9 咯血:8 胸闷心悸:8 心动过缓:7 阵发性室上性心动过速:7 房早:6 病理性杂音:6 三联律:6 轻度ST段改变:6 精神软:6 房速:6 心律不齐:5 胃炎:5 出汗:5 ST-T改变:5 短阵房速:4 窦速:4 左室舒张功能减退:4 胸闷胸痛:4 窦缓:4 脑梗塞:4 双下肢水肿:4 起搏器植入术后:4 畏寒发热:4 室速:4 高血压病:4 视物旋转:3 呼吸困难:3 起搏器:3 活动受限:3 频发房早:3 头晕乏力:3 无意识:2 症状加重:2 气促:2 痛风:2 胃溃疡:2 腔梗灶:2 三尖瓣轻度反流:2 起搏器植入术:2 血压偏高:2 胸闷气促:2 阵发性房颤:2 心音强弱不等:2 左室高电压:2 心影增大:2 恶心:2 支气管病变:2 嗳气:2 黑朦:2 出血:2 室上速:2 增生:2 感染:2 腰椎:2 胸闷气急:2 胸痛:2 冠心病:2 隐痛:1 颜面部水肿:1 胃癌:1 白内障:1 甲状腺回声增粗:1 预激综合症:1 脑出血:1 心悸不适:1 破碎子宫内膜:1 手术史:1 意识丧失:1 心房纤颤:1 椎间盘膨出:1 胃病:1 苔黄腻:1 囊肿:1 双乳腺腺病:1 胸膜增厚:1 高脂血症:1 室间隔稍增厚:1 行走不稳:1 胆囊结石:1 胃癌手术:1 桶状胸:1 腔梗:1 右肺下叶结节灶:1 吸烟:1 肿胀:1 回声结节:1 甲状腺结节:1 两肺呼吸音低:1 双下肢乏力:1 口干:1 肿瘤:1 完全性右束支传导阻滞:1 呕吐:1 慢性支气管炎:1 主动脉瓣钙化:1 左室增大:1 矽肺:1 右侧胸膜改变:1 背痛:1 活动障碍:1 尿量减少:1 手术治疗:1 律欠齐:1 轻度脱髓鞘改变:1 行胆囊切除术:1 肝右叶囊肿:1 心衰:1 慢室率:1 左房增大:1 两肺多发结节:1 破碎:1 消瘦:1 脂肪肝:1 颈静脉充盈:1 心功能II级:1 脑白质疏松:1 皮疹:1 阑尾炎:1 膝关节:1 慢性病容:1 麻木:1 胸闷不适:1 无力:1 食欲减退:1 头痛:1 明显干湿性啰音:1 手术瘢痕:1 全腹及反跳痛:1 乙肝:1 肺大泡:1 头孢过敏史:1 支气管扩张:1 心包少量积液:1 抽搐:1 两肺纹理增多:1 低钾血症:1 手足口病:1 血小板减少:1 两肺纹理增深:1 腰痛:1 肥大:1 哮鸣音:1 升主动脉瘤样扩张:1 肌力减退:1 肺动脉高压:1 左侧基底节区:1 焦虑:1 多饮:1 轻度脂肪肝:1 口唇紫绀:1 累:1 甲亢:1 静脉曲张:1 撕脱:1 心脏病:1 退变:1 颈动脉硬化:1 疼痛:1 刺痛:1 食管炎:1 
甲状旁腺缺失性手足搐搦,高血压:1 抽搐:1 脉滑:1 疼痛:1 全腹及反跳痛:1 加重:1 苔黄腻:1 病理性杂音:1 湿罗音:1 皮下结节:1 高血压病:1 肺呼吸音粗:1 咽部:1 
晕厥查因：脑源性考虑？,男性:1 精神软:1 舌淡紫:1 两肺呼吸音低:1 肺结核:1 晕厥:1 浮肿:1 高血压病:1 饮酒史:1 苔白厚:1 
高血压病,浮肿:52 高血压:51 头晕:44 女性:39 男性:39 肺呼吸音粗:33 胸闷:27 高血压病:22 加重:20 病理性杂音:20 糖尿病:20 乏力:19 全腹及反跳痛:16 恶心:12 不适:12 麻木:11 头昏:10 呕吐:10 老年:10 精神软:10 心悸:9 血压高:9 腹膨隆:9 头痛:9 血压升高:9 早搏:8 面色少华:8 咽部:7 无力:7 胸痛:7 视物模糊:7 纳差:6 晕厥:6 湿罗音:6 肿瘤:5 咳嗽:5 畏寒:5 颈静脉充盈:5 心慌:5 胃炎:4 视物旋转:4 呼吸困难:4 血压偏高:4 咳痰:4 痛风:4 脉弦:4 出血:4 双下肢轻度水肿:4 血压不稳:4 T波改变:4 疼痛:4 咯血:3 气促:3 陈旧性手术疤痕:3 腰椎:3 行走不稳:3 吸烟:3 完全性右束支传导阻滞:3 脉弦滑:3 支气管病变:3 右侧肢体乏力:3 淋巴结肿大:3 脂肪肝:3 体重减轻:3 皮疹:3 增生:3 抽搐:3 窦缓:3 焦虑:3 ST-T改变:3 头晕乏力:3 腹胀:3 冠心病:3 颈静脉稍充盈:3 心音强弱不等:2 室早:2 粥样斑块形成:2 心律不齐:2 肝功能异常:2 苔白腻:2 高血压性心脏病:2 双肺呼吸音低:2 囊肿:2 高脂血症:2 头胀:2 肥胖:2 动脉粥样斑块:2 胸闷气促:2 胆囊炎:2 口齿不清:2 心动过缓:2 左室高电压:2 舌质淡:2 律欠齐:2 主动脉硬化:2 脑改变:2 眩晕症:2 肺气肿:2 心浊音界左大:2 肺炎:2 慢性病容:2 出汗:2 感染:2 房颤:2 骨折:2 心脏病病史:2 脑梗塞:2 停药:2 苔薄黄:2 颈静脉略充盈:2 瘀斑:2 畏寒发热:2 胆囊切除术:2 静脉曲张:2 发热:2 血压控制较差:2 肾囊肿:2 左侧肢体:1 高尿酸血症:1 甲状腺回声增粗:1 双下肢丹毒:1 体重下降:1 脑梗塞病史:1 房早:1 手术病史:1 颈动脉斑块:1 颈动脉硬化:1 脉浮数:1 恶寒:1 进食:1 颈动脉粥样病变:1 腰椎间盘突出:1 抑郁症:1 脑梗死:1 桥本氏甲状腺炎:1 腔梗:1 异常Q波:1 血吸虫肝病:1 不规律服药:1 眩晕:1 疱疹:1 跌倒史:1 腔梗灶:1 直肠癌术:1 肾结石:1 右肺下叶小结节:1 甲状腺结节:1 左室舒张功能减退:1 肝掌:1 子宫切除术:1 口干:1 多虑:1 记忆减退:1 口齿欠清:1 阵发性房颤:1 主动脉瓣钙化:1 脉沉细:1 斑块形成:1 心影增大:1 骨质疏松症:1 甲状腺肿大:1 左侧基底节区及半卵园区低密度影:1 骨质疏松:1 活动障碍:1 心界左下扩大:1 哮喘:1 多思:1 胃窦粘膜慢性中度浅表性炎:1 主动脉管壁钙化:1 嗳气:1 肢体无力:1 左肺上叶下舌段少量纤维灶:1 导管内癌:1 帕金森:1 血糖偏高:1 肝囊肿:1 腹略隆:1 心肌梗死:1 耳鸣:1 双侧筛窦炎:1 房室传导阻滞:1 血压偏低:1 欲吐:1 脉滑:1 流涎:1 双侧乳腺腺病:1 心界左侧扩大:1 黑朦:1 气急:1 脉细:1 左室舒张功能欠佳:1 白细胞减少:1 口吐白沫:1 室上速:1 胸闷胸痛:1 心动过速:1 腰椎退行性改变:1 慢性支气管炎:1 脾脏钙化:1 右肾小结石:1 食欲减退:1 头晕不适:1 意识丧失:1 肝区叩击痛:1 紧张:1 结肠多发息肉:1 脑白质脱髓鞘改变:1 肺大泡:1 肾功能不全:1 反酸:1 支气管扩张:1 打嗝:1 胆囊结石:1 甲状腺术后:1 动脉粥样硬化:1 脑梗塞恢复期:1 两肺纹理增多:1 慢性阻塞性肺疾病:1 蜘蛛痣:1 双眼球震颤:1 自行停药:1 子宫肌瘤:1 舌暗红:1 隐痛:1 端坐呼吸:1 扩张型心肌病:1 贫血:1 结肠息肉:1 哮鸣音:1 双下肢水肿:1 背部疼痛:1 左侧基底节区:1 胀痛:1 慢性肝病:1 言语不清:1 心音低:1 肾区叩痛:1 脉细弱:1 右下肢骨肉瘤病史:1 白色粘痰:1 手术瘢痕:1 失语:1 手术史:1 血糖增高:1 高血压史:1 红肿:1 渗血:1 室速:1 轻压痛:1 心包腔少量积液:1 神志不清:1 
